"";"Adriatic";"Alberta";"Australia";"British-Columbia";"China";"Himalaya";"Japan";"Laptev";"Malaysia";"Oman";"Primorye";"Spitsbergen";"USA-Mexico"
"Bo_buurensis";0;1;0;0;1;1;0;1;0;1;0;1;1
"Bo_curvata";0;1;0;0;0;0;0;0;0;1;0;0;0
"Bo_sweeti";0;1;0;0;0;1;0;0;0;1;0;0;0
"Cb_elongata";0;0;1;0;0;1;0;0;0;0;0;0;0
"Co_breviramulis";0;0;0;0;1;0;1;0;1;0;1;0;0
"Cs_conservativa";0;1;1;1;1;1;1;0;1;1;1;0;1
"D_discreta";0;1;1;1;1;1;1;0;0;1;1;0;1
"D_pseudodieneri";0;0;0;0;1;0;0;0;0;1;0;0;0
"D_robusta";0;0;0;0;1;1;1;0;0;1;0;0;0
"Eu_costatus";1;0;0;1;1;1;1;0;1;0;1;0;0
"Eu_hamadai";1;0;0;0;1;1;1;0;1;0;0;0;0
"Fo_gardenae";1;0;0;0;0;0;0;0;0;1;1;0;0
"Fu_triserratus";1;0;0;0;0;0;1;0;0;0;1;0;1
"Gu_bransoni";0;1;1;1;1;1;1;0;0;0;0;0;1
"Ha_aequabilis";1;0;0;0;1;1;1;0;0;1;0;0;0
"Ha_anceps";1;0;0;0;0;0;0;0;1;0;1;0;1
"Ic_zaksi";0;0;0;0;1;1;0;0;0;0;0;0;0
"Mag_mutata";0;1;0;0;0;0;0;0;0;1;0;0;0
"Ns_chaohuensis";0;0;0;0;1;1;0;0;0;0;0;0;0
"Ns_concavus";0;0;0;0;1;0;1;0;0;0;1;0;0
"Ns_cristagalli";0;1;0;0;1;1;1;0;0;1;1;0;0
"Ns_curtus";0;0;0;0;1;0;0;1;0;0;0;0;0
"Ns_dieneri";0;1;1;1;1;1;1;1;1;0;0;0;0
"Ns_pakistanensis";0;1;1;1;1;1;1;0;0;0;1;0;1
"Ns_posterolongatus";0;1;0;0;1;1;1;0;0;0;0;0;0
"Ns_robustus";0;0;0;0;0;1;1;0;1;0;0;0;0
"Ns_spitiensis";0;0;0;0;1;1;0;0;0;1;1;0;0
"Ns_waageni";0;1;1;1;1;1;1;1;1;1;1;1;1
"Nv_abruptus";0;0;0;0;0;1;1;0;0;1;0;0;0
"Nv_gryphus";0;0;0;0;1;0;0;0;0;1;0;0;0
"Nv_latiformis";0;1;0;0;0;0;0;0;0;1;0;0;0
"Nv_pingdingshanensis";0;1;0;0;1;1;1;0;0;1;0;0;0
"Pa_meeki";0;1;0;0;0;0;0;0;0;0;0;0;1
"Pc_longispinosa";1;0;0;0;0;0;0;0;1;0;0;0;0
"Pc_obliqua";1;0;0;1;1;0;0;0;0;0;1;0;1
"Pc_symmetrica";1;0;0;0;0;0;0;0;1;0;1;0;1
"Pr_ethingtoni";1;0;0;0;1;0;0;0;0;0;0;0;1
"Pr_peculiaris";0;0;0;1;1;0;0;0;0;0;0;0;1
"Sg_ellesmerensis";0;1;0;0;1;0;0;0;0;0;0;0;0
"Sg_lachrymiformis";0;1;0;0;1;0;0;0;0;1;0;0;0
"Sg_milleri";0;1;0;1;1;1;1;0;0;1;1;1;1
"Sg_mosheri";0;1;0;0;0;1;0;1;0;1;1;1;1
"Sm_longiusculus";0;0;0;0;1;1;0;0;0;0;1;0;0
"Ur_unicorna";0;0;0;0;1;1;0;0;0;1;0;0;0
"Wa_robustus";0;1;0;0;0;1;0;0;0;0;0;0;0
