"";"Adr";"Alb";"Bri";"Chin";"EurE";"Him";"Jap";"Oman";"Pri";"Rus";"USA"
"Ad_unicosta";0;0;0;1;0;0;1;1;0;0;0
"Bo_buurensis";0;0;0;0;0;1;0;1;0;0;0
"Bo_sweeti";0;0;0;0;0;1;0;0;0;0;1
"Cb_elongata";0;0;0;0;0;1;0;1;0;0;1
"Cb_joanae";0;1;0;0;0;1;0;0;0;0;0
"Cb_jubata";0;0;0;0;0;1;0;1;0;0;1
"Cb_paragondolellaeformis";0;1;0;0;0;1;0;0;0;0;0
"Ch_gondolelloides";0;0;0;0;1;1;1;0;0;0;0
"Ch_timorensis";0;0;0;1;1;1;1;0;0;0;1
"Co_breviramulis";0;0;0;1;0;0;1;0;0;0;0
"Gg_carinata";1;0;0;1;1;1;0;0;0;0;0
"Gg_laii";0;0;0;1;0;0;0;1;0;0;0
"Ic_collinsoni";0;1;0;1;0;1;1;1;0;0;1
"Ic_crassatus";1;0;0;1;0;1;1;1;0;0;1
"Ic_zaksi";0;0;0;1;0;0;1;1;1;0;1
"Mag_mutata";0;0;0;0;0;0;0;1;0;0;1
"Ng_bucheri";0;1;0;0;0;0;0;0;0;0;1
"Ng_spathiconstricta";0;1;0;0;0;0;0;0;0;0;1
"Ns_anhuinensis";0;0;0;1;0;0;1;0;0;0;0
"Ns_robustispinus";1;0;0;1;0;0;0;0;0;0;0
"Ns_waageni";0;0;0;1;0;1;1;0;0;0;0
"Nst_oezdemirae";0;0;0;0;0;0;1;0;0;1;0
"Nst_tahoensis";1;0;0;0;0;0;1;1;0;0;0
"Nv_abruptus";0;1;0;1;0;1;1;1;0;1;1
"Nv_brevissimus";0;0;0;1;0;1;1;1;0;0;1
"Nv_clinatus";0;0;0;1;0;1;0;0;0;0;0
"Nv_curtatus";0;0;0;1;0;0;0;1;0;0;0
"Nv_expansus";0;0;0;1;0;0;0;1;0;0;0
"Nv_magnicuspidatus";0;0;0;1;0;0;0;1;0;0;0
"Nv_pingdingshanensis";0;0;0;1;0;1;1;1;0;0;1
"Pc_obliqua";1;0;1;0;0;0;0;0;0;0;0
"Sp_spathi";0;0;0;1;1;1;1;1;0;1;0
"Ts_brochus";0;1;0;1;0;1;1;1;0;0;0
"Ts_homeri";1;1;1;1;1;1;1;1;1;1;1
"Ts_pusillus";0;0;0;1;0;1;0;1;0;0;0
"Ts_sosioensis";1;0;0;1;1;1;1;0;0;0;0
"Ts_symmetricus";1;1;1;1;0;1;1;1;0;1;1
"Ts_triangularis";1;0;1;1;1;1;1;1;1;1;1
