"species";"average";"overall";"sd";"ratio";"ava";"avb";"ord";"cusum";"p"
"Cl_carinata";0,101110595753453;0,662456194599052;0,0580631732403483;1,74138942311873;0;0,857142857142857;1;0,152629859268883;1e-04
"Cl_nevadensis";0,0235003092145949;0,662456194599052;0,0393008559371913;0,597959221350088;0;0,285714285714286;13;0,305259718537766;0,4225
"Cl_planata";0,0528112760255617;0,662456194599052;0,0495705418734235;1,0653762099356;0;0,571428571428571;6;0,432431170892231;0,1035
"Cl_taylorae";0,0223098330241187;0,662456194599052;0,0369898025669404;0,603134687830374;0;0,285714285714286;11;0,532856709427973;0,4167
"Cl_tulongensis";0,0223098330241187;0,662456194599052;0,0369898025669404;0,603134687830374;0;0,285714285714286;9;0,628532864488926;0,4167
"Me_peculiaris";0,0842455163883735;0,662456194599052;0,0677218722220069;1,24399272530739;0;0,714285714285714;3;0,708253269333997;1e-04
"Ncl_discreta";0,0391749123891981;0,662456194599052;0,0490216897659829;0,799134272527307;0;0,428571428571429;12;0,77710182584816;0,2402
"Ncl_krystyni";0,0403653885796743;0,662456194599052;0,0503606399653849;0,801526521653005;0;0,428571428571429;8;0,838034743237672;0,2402
"Ns_cristagalli";0,0633812615955473;0,662456194599052;0,0712979967672911;0,888962726434193;0,5;0,857142857142857;7;0,897170596609695;0,191
"Ns_dieneri";0;0,662456194599052;0;NA;1;1;2;0,932645107084789;NA
"Ns_pakistanensis";0,0665275200989487;0,662456194599052;0,0674619673902245;0,986148531870251;0;0,571428571428571;4;0,966322553542394;0,0813
"Ns_svalbardensis";0,0456091527520099;0,662456194599052;0,0600475207373843;0,759550972162196;0;0,428571428571429;5;1;0,2504
"Ss_kummeli";0,101110595753453;0,662456194599052;0,0580631732403483;1,74138942311873;0;0,857142857142857;10;1;1e-04
