"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Him";"Chin";0,285714268684387;0,999
"2";"Him";"Jpn";0,288888871669769;0,998
"3";"Bri";"Aus";0,294117629528046;0,985
"4";"Oman";"Alb";0,365853667259216;0,981
"5";"Him";"Alb";0,39130437374115;0,964
"6";"USA";"Pri";0,375;0,962
"7";"Him";"Oman";0,404255330562592;0,951
"8";"Spi";"Lap";0,333333313465118;0,944
"9";"Bri";"USA";0,360000014305115;0,937
"10";"Jpn";"Pri";0,444444417953491;0,874
"11";"Bri";"Jpn";0,448275864124298;0,867
"12";"Mal";"Adr";0,5;0,755
"13";"Jpn";"Mal";0,517241358757019;0,736
"14";"USA";"Spi";0,578947365283966;0,632
"15";"Pri";"Adr";0,555555582046509;0,608
